,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Country
Afghanistan,,,,,,,,,,,,,,,,,,,,,Afghanistan
Albania,1.0,0.7380952380952381,0.7142857142857143,0.2619047619047619,0.9285714285714286,,0.19047619047619047,-0.29940656547831473,,,,,,,,,0.9285714285714286,,0.5952380952380952,,Albania
Algeria,,,,,,,,,,,,,,,,,,,,,Algeria
American Samoa,,,,,,,,,,,,,,,,,,,,,American Samoa
Andorra,,,,,,,,,,,,,,,,,,,,,Andorra
Angola,,,,,,,,,,,,,,,,,,,,,Angola
Anguilla,,,,,,,,,,,,,,,,,,,,,Anguilla
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,Antigua and Barbuda
Argentina,,,,,,,,,,,,,,,,,,,,,Argentina
Armenia,,,,,,,,,,,,,,,,,,,,,Armenia
Aruba,,,,,,,,,,,,,,,,,,,,,Aruba
Australia,1.0,-0.16408668730650156,0.4943240454076367,-0.5624355005159959,0.0,-0.8,0.5400103972088299,0.8369453044375645,0.9,0.5666666666666667,,0.4,,,,,0.785345717234262,,0.9834881320949431,-0.4333333333333333,Australia
Austria,1.0,-0.457172342621259,-0.11661506707946336,0.5748194014447884,0.0,0.8,-0.9360165118679049,0.977296181630547,0.5,-0.8121775025799793,,0.0,,,,,-0.739938080495356,,0.9938080495356036,0.5833333333333333,Austria
Azerbaijan,1.0,-0.2571428571428572,0.19580419580419584,-0.08391608391608392,0.7005264683383463,,-0.08391608391608392,0.6223776223776224,,-0.6643356643356644,,,,,,,0.7062937062937062,0.8857142857142858,0.8181818181818182,0.0,Azerbaijan
Bahamas,,,,,,,,,,,,,,,,,,,,,Bahamas
Bahrain,,,,,,,,,,,,,,,,,,,,,Bahrain
Bangladesh,,,,,,,,,,,,,,,,,,,,,Bangladesh
Barbados,1.0,-0.5476190476190477,0.7447763937925935,-0.5606743638663344,0.0,,-0.945614971893967,,,,,,,,,,0.7280398456174789,,0.9288784237188525,,Barbados
Belarus,1.0,-0.03199174406604747,0.6057791537667699,0.013415892672858616,0.0,0.0,0.44811570246392385,0.9256965944272446,0.6,0.4264705882352941,,,,,,,0.500515995872033,,0.9339525283797729,0.13693063937629152,Belarus
Belgium,1.0,-0.7275541795665634,0.09184726522187822,0.2693498452012384,0.0,1.0,-0.9401444788441693,0.9834881320949431,-0.7,-0.9289215686274509,,-0.4,,,,,-0.9401444788441693,,0.9979360165118678,0.8666666666666666,Belgium
Belize,,,,,,,,,,,,,,,,,,,,,Belize
Benin,,,,,,,,,,,,,,,,,,,,,Benin
Bermuda,,,,,,,,,,,,,,,,,,,,,Bermuda
Bhutan,1.0,-0.1076923076923077,0.6791208791208792,-0.25274725274725274,0.9912087912087912,,-0.7722776950443788,,,,,,,,,,0.9912087912087912,,0.8637362637362638,0.0,Bhutan
Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)
Bosnia and Herzegovina,1.0,0.3216783216783217,0.15384615384615383,-0.5274725274725275,-0.883387865131597,,-0.41208791208791207,0.8791208791208792,,0.5878787878787879,,,,,,,0.8461538461538461,,0.8901098901098902,0.0,Bosnia and Herzegovina
Botswana,,,,,,,,,,,,,,,,,,,,,Botswana
Brazil,1.0,-0.03571428571428571,0.825,-0.33928571428571425,0.9664431329024387,,-0.30357142857142855,0.9892857142857141,,0.9142857142857143,,,,,,,0.9749999999999999,0.9370629370629371,0.9857142857142855,-0.7380952380952381,Brazil
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,British Virgin Islands
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam
Bulgaria,1.0,0.07327141382868937,0.27347781217750256,0.6346749226006191,,0.8,-0.6264189886480908,0.9587203302373581,-0.6,-0.6029411764705882,,,,,,,-0.4427244582043343,,0.9690402476780184,-0.15,Bulgaria
Burkina Faso,,,,,,,,,,,,,,,,,,,,,Burkina Faso
Burundi,,,,,,,,,,,,,,,,,,,,,Burundi
Cabo Verde,,,,,,,,,,,,,,,,,,,,,Cabo Verde
Cambodia,,,,,,,,,,,,,,,,,,,,,Cambodia
Cameroon,,,,,,,,,,,,,,,,,,,,,Cameroon
Canada,1.0,0.4055727554179566,-0.2755417956656347,0.12487100103199174,0.0,0.2,-0.519628376449544,0.16821465428276572,-0.6,0.3642930856553147,,1.0,,,,,-0.3849329205366357,,0.8452012383900929,0.18410202992625907,Canada
Cayman Islands,,,,,,,,,,,,,,,,,,,,,Cayman Islands
Central African Republic,1.0,-0.8,-0.5238095238095238,-0.7857142857142857,0.0,,-0.5952380952380952,,,,,,,,,,-0.7857142857142857,,0.2619047619047619,,Central African Republic
Chad,,,,,,,,,,,,,,,,,,,,,Chad
Chile,1.0,-0.8,0.8,-1.0,0.0,,-0.8,1.0,,,,,,,,,1.0,,1.0,,Chile
China,1.0,1.0,0.8,-1.0,1.0,,-0.8,1.0,,1.0,,,,,,,1.0,,1.0,-0.9486832980505138,China
"China, Hong Kong Special Administrative Region",,,,,,,,,,,,,,,,,,,,,"China, Hong Kong Special Administrative Region"
"China, Macao Special Administrative Region",,,,,,,,,,,,,,,,,,,,,"China, Macao Special Administrative Region"
Colombia,,,,,,,,,,,,,,,,,,,,,Colombia
Comoros,,,,,,,,,,,,,,,,,,,,,Comoros
Congo,,,,,,,,,,,,,,,,,,,,,Congo
Cook Islands,,,,,,,,,,,,,,,,,,,,,Cook Islands
Costa Rica,,,,,,,,,,,,,,,,,,,,,Costa Rica
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,Côte d'Ivoire
Croatia,1.0,-0.3415892672858617,0.587203302373581,0.3828689370485036,0.0,1.0,-0.9272071447295014,0.979360165118679,0.4,0.014705882352941178,,,,,,,-0.07327141382868937,,0.9938080495356036,0.18257418583505536,Croatia
Cuba,,,,,,,,,,,,,,,,,,,,,Cuba
Curaçao,,,,,,,,,,,,,,,,,,,,,Curaçao
Cyprus,1.0,0.05263157894736842,-0.12280701754385964,-0.007223942208462332,0.0,0.6,-0.4076367389060887,0.9530202612308796,-0.15389675281277312,-0.33088235294117646,,0.4,,,,,0.2590299277605779,,0.9896800825593395,0.0,Cyprus
Czechia,1.0,-0.5025799793601651,-0.07533539731682146,0.2837977296181631,0.0,1.0,-0.9256965944272446,0.9917440660474716,-0.5,-0.8651960784313726,,-0.2581988897471611,,,,,-0.785345717234262,,0.9938080495356036,0.6666666666666666,Czechia
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,Democratic People's Republic of Korea
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo
Denmark,1.0,0.43859649122807015,0.2961816305469556,-0.22600619195046437,0.0,1.0,-0.9814241486068112,0.9958720330237358,-1.0,-0.8186274509803922,,-1.0,,,,,-0.7977296181630547,,1.0,0.8833333333333333,Denmark
Djibouti,,,,,,,,,,,,,,,,,,,,,Djibouti
Dominica,1.0,0.1676470588235294,-0.008823529411764706,-0.4852941176470588,0.8884043159665825,,0.041176470588235294,,,,,,,,,,0.6029411764705882,,0.6415459106668835,0.0,Dominica
Dominican Republic,,,,,,,,,,,,,,,,,,,,,Dominican Republic
Ecuador,,,,,,,,,,,,,,,,,,,,,Ecuador
Egypt,,,,,,,,,,,,,,,,,,,,,Egypt
El Salvador,,,,,,,,,,,,,,,,,,,,,El Salvador
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea
Eritrea,,,,,,,,,,,,,,,,,,,,,Eritrea
Estonia,1.0,-0.05469556243550052,0.20123839009287925,-0.044375644994840036,0.0,0.8,0.05056759545923632,0.8080495356037152,-0.5,0.4901960784313726,,,,,,,0.20123839009287925,,0.9958720330237358,0.457692864944047,Estonia
Eswatini,,,,,,,,,,,,,,,,,,,,,Eswatini
Ethiopia,1.0,-0.15384615384615385,-0.19580419580419584,-0.055944055944055944,0.0,,-0.8881118881118882,0.8671328671328672,,0.8,,,,,,,0.8041958041958043,,0.7972027972027973,0.0,Ethiopia
Fiji,,,,,,,,,,,,,,,,,,,,,Fiji
Finland,1.0,-0.628482972136223,0.2301341589267286,0.45304437564499483,0.0,0.8,-0.9504643962848296,1.0,0.2,0.5,,-0.8,,,,,-0.6491228070175438,,1.0,0.7822165589515727,Finland
France,1.0,-0.8431372549019607,-0.3395252837977296,-0.03611971104231166,0.0,1.0,-0.9029927760577916,0.9917440660474716,-0.6,-0.767156862745098,,-0.8,,,,,-0.9298245614035088,,0.9938080495356036,0.6666666666666666,France
French Polynesia,,,,,,,,,,,,,,,,,,,,,French Polynesia
Gabon,,,,,,,,,,,,,,,,,,,,,Gabon
Gambia,,,,,,,,,,,,,,,,,,,,,Gambia
Georgia,1.0,0.7272727272727273,0.7202797202797203,-0.055944055944055944,0.8741258741258742,,-0.986013986013986,0.9370629370629371,,-0.6,,,,,,,0.9090909090909092,,0.9300699300699302,0.0,Georgia
Germany,1.0,-0.8369453044375645,0.09391124871001032,-0.07946336429308565,0.0,1.0,-0.9649122807017543,0.979360165118679,0.7,-0.9117647058823529,,-1.0,,,,,-0.9112487100103199,,0.9855521155830753,0.75,Germany
Ghana,1.0,0.3,0.7,-0.1,0.9746794344808964,,-0.9,0.3,,,,,,,,,0.9,,0.3,,Ghana
Greece,1.0,-0.8369453044375645,-0.2280701754385965,0.3292053663570691,0.0,1.0,-0.8807435350270209,0.9834881320949431,0.8,-0.9,,-0.4,,,,,0.847265221878225,-0.9,0.9938080495356036,0.0,Greece
Greenland,,,,,,,,,,,,,,,,,,,,,Greenland
Grenada,,,,,,,,,,,,,,,,,,,,,Grenada
Guadeloupe,,,,,,,,,,,,,,,,,,,,,Guadeloupe
Guatemala,,,,,,,,,,,,,,,,,,,,,Guatemala
Guinea,,,,,,,,,,,,,,,,,,,,,Guinea
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
Guyana,,,,,,,,,,,,,,,,,,,,,Guyana
Haiti,,,,,,,,,,,,,,,,,,,,,Haiti
Honduras,,,,,,,,,,,,,,,,,,,,,Honduras
Hungary,1.0,-0.8163054695562435,-0.19711042311661506,0.2714138286893705,0.0,0.8,-0.9834881320949431,0.979360165118679,0.0,-0.8946078431372548,,0.0,,,,,-0.4963880288957688,,0.9814241486068112,0.0,Hungary
Iceland,1.0,0.3168214654282766,0.10835913312693497,-0.24458204334365322,0.0,-0.2,0.44066047471620223,-0.282911756855104,0.0,-0.3758241758241758,,,,,,,0.6264189886480908,,0.8844169246646028,-0.4666666666666667,Iceland
India,,,,,,,,,,,,,,,,,,,,,India
Indonesia,,,,,,,,,,,,,,,,,,,,,Indonesia
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,Iran (Islamic Republic of)
Iraq,,,,,,,,,,,,,,,,,,,,,Iraq
Ireland,1.0,0.327141382868937,-0.4716202270381837,0.09184726522187822,0.0,1.0,-0.6780185758513931,0.8679050567595459,0.1,-0.5911764705882353,,-0.4,,,,,-0.3746130030959752,,0.9112487100103199,-0.35000000000000003,Ireland
Isle of Man,,,,,,,,,,,,,,,,,,,,,Isle of Man
Israel,1.0,-0.6205882352941177,0.5088235294117647,-0.029411764705882353,0.0,,-0.538235294117647,0.45294117647058824,-0.8,0.6088235294117647,,,,,,,0.8558823529411764,,0.3323529411764706,0.0,Israel
Italy,1.0,-0.8617131062951495,-0.25077399380804954,-0.07739938080495357,0.0,1.0,-0.9442724458204335,0.9917440660474716,0.3,-0.9583333333333334,,-1.0,,,,,0.46542827657378744,,0.9938080495356036,0.8833333333333333,Italy
Jamaica,1.0,0.2571428571428572,0.4285714285714286,0.4285714285714286,-0.8332380897952963,,-0.7714285714285715,0.7537023463481829,,,,,,,,,0.8285714285714285,,0.942857142857143,,Jamaica
Japan,1.0,-0.4076367389060887,-0.6883384932920537,0.31269349845201233,0.0,0.8,-0.6202270381836944,0.9112487100103199,0.8,0.024509803921568627,,-1.0,,,,,-0.40144478844169246,,0.9917440660474716,0.25,Japan
Jordan,,,,,,,,,,,,,,,,,,,,,Jordan
Kazakhstan,1.0,-0.14705882352941177,0.38235294117647056,-0.7156862745098039,0.9707812278177638,,-0.3605150892211267,0.5906862745098039,1.0,-0.9117647058823529,,,,,,,0.9852941176470589,,1.0,-0.8833333333333333,Kazakhstan
Kenya,,,,,,,,,,,,,,,,,,,,,Kenya
Kiribati,1.0,,-0.1,0.2,0.0,,-0.3,,,,,,,,,,0.7,,0.35909242322980395,,Kiribati
Kosovo,,,,,,,,,,,,,,,,,,,,,Kosovo
Kuwait,,,,,,,,,,,,,,,,,,,,,Kuwait
Kyrgyzstan,1.0,0.3,0.9166666666666665,0.13333333333333333,0.9333333333333333,,-0.8833333333333333,0.8333333333333333,,-0.41666666666666663,,,,,,,0.9333333333333333,,0.9166666666666665,,Kyrgyzstan
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,Lao People's Democratic Republic
Latvia,1.0,-0.02786377708978328,0.17234262125902994,0.17234262125902994,0.0,0.0,-0.4282765737874097,0.7337461300309597,-0.8,0.286764705882353,,,,,,,0.2961816305469556,,0.8802889576883384,0.7666666666666666,Latvia
Lebanon,,,,,,,,,,,,,,,,,,,,,Lebanon
Lesotho,,,,,,,,,,,,,,,,,,,,,Lesotho
Liberia,,,,,,,,,,,,,,,,,,,,,Liberia
Libya,,,,,,,,,,,,,,,,,,,,,Libya
Liechtenstein,1.0,,,0.09597523219814241,,,-0.9236326109391124,,,,,,,,,,,,0.9917440660474716,,Liechtenstein
Lithuania,1.0,-0.19091847265221878,0.29824561403508776,0.6119711042311661,0.0,0.8,-0.6835313249564922,0.8094993334832173,0.2,-0.551470588235294,,,,,,,-0.36635706914344685,,0.6532507739938079,0.6333333333333333,Lithuania
Luxembourg,1.0,-0.27966976264189886,-0.021671826625386997,0.2549019607843137,0.0,0.9486832980505138,-0.719298245614035,1.0,0.5,0.6970588235294117,,1.0,,,,,-0.6924664602683178,,1.0,0.9166666666666665,Luxembourg
Madagascar,1.0,-0.3142857142857143,0.2,-0.14285714285714288,0.0,,0.5428571428571428,,,-0.6,,,,,,,0.2571428571428572,,0.08571428571428572,,Madagascar
Malawi,,,,,,,,,,,,,,,,,,,,,Malawi
Malaysia,1.0,-0.0787878787878788,0.5272727272727272,0.04242424242424242,0.0,,-0.8545454545454545,0.9393939393939394,,0.7857142857142857,,,,,,,0.9636363636363636,,0.9515151515151514,,Malaysia
Maldives,1.0,,0.3,-0.4,0.0,,0.20519567041703085,,,,,,,,,,1.0,,0.8,-0.894427190999916,Maldives
Mali,,,,,,,,,,,,,,,,,,,,,Mali
Malta,1.0,0.2776057791537668,0.1434468524251806,-0.47574819401444784,0.0,1.0,-0.8224974200206399,0.877395589138148,0.0,-0.3455882352941177,,,,,,,-0.7956656346749226,,0.9731682146542827,0.0,Malta
Marshall Islands,,,,,,,,,,,,,,,,,,,,,Marshall Islands
Martinique,,,,,,,,,,,,,,,,,,,,,Martinique
Mauritania,,,,,,,,,,,,,,,,,,,,,Mauritania
Mauritius,1.0,0.6571428571428573,0.6,0.2571428571428572,0.0,,-0.8285714285714285,0.942857142857143,,-0.6,,,,,,,0.942857142857143,,0.942857142857143,,Mauritius
Mayotte,,,,,,,,,,,,,,,,,,,,,Mayotte
Mexico,1.0,0.08571428571428572,0.16083916083916086,0.17482517482517484,0.4803844614152615,,-0.8601398601398602,0.8881118881118882,,0.7762237762237763,,,,,,,0.8181818181818182,0.8090909090909092,0.7552447552447553,0.3,Mexico
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,Micronesia (Federated States of)
Monaco,1.0,,,-0.3828689370485036,0.0,,,,,,,,,,,,-0.7997936016511867,,,,Monaco
Mongolia,,,,,,,,,,,,,,,,,,,,,Mongolia
Montenegro,1.0,,-0.28484848484848485,0.06666666666666667,0.9349469900084573,,-0.8160123484559988,0.0,,0.2,,,,,,,-0.8424242424242424,,-0.22424242424242424,,Montenegro
Montserrat,,,,,,,,,,,,,,,,,,,,,Montserrat
Morocco,1.0,0.3142857142857143,0.3142857142857143,-0.2571428571428572,0.9258200997725515,,-0.942857142857143,0.942857142857143,,,,,,,,,0.942857142857143,,0.942857142857143,,Morocco
Mozambique,,,,,,,,,,,,,,,,,,,,,Mozambique
Myanmar,1.0,0.8,0.8,0.2,0.0,,-0.8,0.8,,,,,,,,,1.0,,0.8,,Myanmar
Namibia,,,,,,,,,,,,,,,,,,,,,Namibia
Nauru,,,,,,,,,,,,,,,,,,,,,Nauru
Nepal,,,,,,,,,,,,,,,,,,,,,Nepal
Netherlands,1.0,-0.8245614035087718,-0.23839009287925697,-0.19504643962848298,0.0,1.0,-0.9587203302373581,0.9649122807017543,-0.8,-0.6642156862745098,,-1.0,,,,,-0.8988648090815272,,0.9649122807017543,0.644087327036082,Netherlands
New Caledonia,,,,,,,,,,,,,,,,,,,,,New Caledonia
New Zealand,1.0,0.06707946336429309,0.0567595459236326,0.08152734778121776,0.0,0.2,-0.42621259029927755,0.8596491228070176,0.7,-0.6190476190476191,,1.0,,,,,-0.013415892672858616,,0.8204334365325077,-0.016736548175114458,New Zealand
Nicaragua,,,,,,,,,,,,,,,,,,,,,Nicaragua
Niger,,,,,,,,,,,,,,,,,,,,,Niger
Nigeria,,,,,,,,,,,,,,,,,,,,,Nigeria
Niue,1.0,,,,0.4,,0.8,,,,,,,,,,,,-0.7071067811865475,,Niue
North Macedonia,1.0,,0.047619047619047616,0.5238095238095238,-0.1197626261913259,,-0.14285714285714285,0.5714285714285714,,0.35714285714285715,,,,,,,0.047619047619047616,,0.35714285714285715,,North Macedonia
Norway,1.0,0.3188854489164087,0.31269349845201233,0.3539731682146543,0.0,1.0,-0.5128998968008256,-0.2239422084623323,0.9,-0.767156862745098,,-0.8,,,,,-0.7502579979360164,,0.25696594427244585,0.6499999999999999,Norway
Oman,,,,,,,,,,,,,,,,,,,,,Oman
Pakistan,,,,,,,,,,,,,,,,,,,,,Pakistan
Palau,,,,,,,,,,,,,,,,,,,,,Palau
Panama,,,,,,,,,,,,,,,,,,,,,Panama
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,Papua New Guinea
Paraguay,,,,,,,,,,,,,,,,,,,,,Paraguay
Peru,,,,,,,,,,,,,,,,,,,,,Peru
Philippines,,,,,,,,,,,,,,,,,,,,,Philippines
Poland,1.0,0.2837977296181631,0.25077399380804954,0.5913312693498451,0.0,0.8,-0.4695562435500516,0.9587203302373581,0.8,-0.08823529411764706,,-0.4,,,,,-0.08359133126934984,,0.9422084623323013,0.3672361438109012,Poland
Portugal,1.0,-0.7812177502579979,-0.42414860681114547,-0.15170278637770895,0.0,1.0,-0.9422084623323013,0.9855521155830753,-0.3,-0.5784313725490197,,-0.21081851067789195,,,,,0.05263157894736842,,0.9958720330237358,0.31666666666666665,Portugal
Puerto Rico,,,,,,,,,,,,,,,,,,,,,Puerto Rico
Qatar,,,,,,,,,,,,,,,,,,,,,Qatar
Republic of Korea,1.0,0.8571428571428571,0.16785714285714284,-0.5535714285714286,0.0,,0.9607142857142856,0.9607142857142856,,0.9678571428571427,,,,,,,,,,,Republic of Korea
Republic of Moldova,1.0,-0.4335664335664336,0.7272727272727273,-0.19580419580419584,0.8111888111888111,,0.36363636363636365,0.45534220441992507,,-0.1,,,,,,,,,,,Republic of Moldova
Romania,1.0,0.16202270381836942,-0.06914344685242518,0.3065015479876161,-0.8762356900442089,1.0,-0.9050567595459236,0.9731682146542827,0.6,-0.09803921568627451,,,,,,,-0.8307533539731682,,0.9277605779153766,0.7967246167544522,Romania
Russian Federation,1.0,0.06914344685242518,0.31269349845201233,-0.30030959752321984,-0.6225341526917088,-1.0,-0.6515230604947834,0.9071207430340558,1.0,-0.8088235294117646,,0.9486832980505138,,,,,,,,,Russian Federation
Rwanda,,,,,,,,,,,,,,,,,,,,,Rwanda
Saint Helena,,,,,,,,,,,,,,,,,,,,,Saint Helena
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,Saint Kitts and Nevis
Saint Lucia,,,,,,,,,,,,,,,,,,,,,Saint Lucia
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines
Samoa,,,,,,,,,,,,,,,,,,,,,Samoa
San Marino,,,,,,,,,,,,,,,,,,,,,San Marino
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,Saudi Arabia
Senegal,,,,,,,,,,,,,,,,,,,,,Senegal
Serbia,,,,,,,,,,,,,,,,,,,,,Serbia
Seychelles,,,,,,,,,,,,,,,,,,,,,Seychelles
Sierra Leone,1.0,0.8,0.4,-1.0,0.0,,0.4,,,,,,,,,,1.0,,-0.4,,Sierra Leone
Singapore,,,,,,,,,,,,,,,,,,,,,Singapore
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,Sint Maarten (Dutch part)
Slovakia,1.0,-0.7688338493292053,0.5913312693498451,0.6346749226006191,0.0,1.0,-0.9251420954093913,0.9484004127966976,0.2,-0.7769607843137255,,,,,,,-0.8844169246646028,,0.9896800825593395,0.0,Slovakia
Slovenia,1.0,-0.28173374613003094,-0.24251805985552113,0.32507739938080493,0.0,0.8,-0.8555211558307534,0.9504643962848296,0.8,-0.6691176470588235,,,,,,,-0.4200206398348813,,0.9917440660474716,0.8475793795260129,Slovenia
Solomon Islands,,,,,,,,,,,,,,,,,,,,,Solomon Islands
Somalia,,,,,,,,,,,,,,,,,,,,,Somalia
South Africa,,,,,,,,,,,,,,,,,,,,,South Africa
South Sudan,1.0,,-0.8,0.2,0.0,,-1.0,1.0,,,,,,,,,0.4,,1.0,0.0,South Sudan
Spain,1.0,0.12487100103199174,0.0196078431372549,-0.09184726522187822,0.0,1.0,-0.9029927760577916,0.9896800825593395,0.4,-0.2965686274509804,,-0.4,,,,,-0.32094943240454077,-0.6703296703296703,0.9917440660474716,0.7333333333333334,Spain
Sri Lanka,,,,,,,,,,,,,,,,,,,,,Sri Lanka
State of Palestine,,,,,,,,,,,,,,,,,,,,,State of Palestine
Sudan,,,,,,,,,,,,,,,,,,,,,Sudan
Suriname,,,,,,,,,,,,,,,,,,,,,Suriname
Sweden,1.0,0.6904024767801857,0.07739938080495357,0.4840041279669763,0.0,1.0,-0.9711042311661506,0.9958720330237358,0.0,0.37058823529411766,,-1.0,,,,,-0.9545923632610938,,0.9979360165118678,0.44999999999999996,Sweden
Switzerland,1.0,-0.7894736842105263,-0.21155830753353974,0.327141382868937,0.0,1.0,-0.8740970072239422,0.9814241486068112,-0.6,-0.9,,-1.0,,,,,-0.8452012383900929,,0.9917440660474716,0.7999999999999999,Switzerland
Syrian Arab Republic,1.0,,1.0,-0.4,0.0,,0.8,1.0,,,,,,,,,,,,,Syrian Arab Republic
Tajikistan,1.0,,0.06666666666666667,-0.6499999999999999,0.41666666666666663,,-0.31666666666666665,0.3430992375898464,,0.35000000000000003,,,,,,,0.41666666666666663,,0.3833333333333333,,Tajikistan
Thailand,1.0,0.5944055944055944,0.3216783216783217,-0.1188811188811189,0.986013986013986,,0.952715996940151,0.9720279720279721,,0.296969696969697,,,,,,,0.9790209790209791,,0.986013986013986,0.0,Thailand
Timor-Leste,,,,,,,,,,,,,,,,,,,,,Timor-Leste
Togo,,,,,,,,,,,,,,,,,,,,,Togo
Tonga,,,,,,,,,,,,,,,,,,,,,Tonga
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,Trinidad and Tobago
Tunisia,,,,,,,,,,,,,,,,,,,,,Tunisia
Türkiye,1.0,-0.11208791208791209,0.4324045407636739,-0.32507739938080493,0.9357317244349386,-1.0,-0.675954592363261,0.9917440660474716,0.9,0.9764705882352941,,0.2,,,,,,,,,Türkiye
Turkmenistan,,,,,,,,,,,,,,,,,,,,,Turkmenistan
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands
Tuvalu,,,,,,,,,,,,,,,,,,,,,Tuvalu
Uganda,,,,,,,,,,,,,,,,,,,,,Uganda
Ukraine,1.0,0.13106295149638802,0.30856553147574817,0.5706914344685242,-0.6945487553393818,0.8,-0.8575851393188854,0.9215686274509804,0.3,0.7720588235294118,,0.0,,,,,0.4282765737874097,,0.9711042311661506,0.0,Ukraine
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,1.0,-0.4303405572755418,-0.24664602683178535,0.3292053663570691,0.0,1.0,-0.9876160990712074,0.9834881320949431,0.8,-0.8186274509803922,,-1.0,,,,,,,,,United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,,United Republic of Tanzania
United States of America,1.0,-0.11455108359133127,-0.6904024767801857,0.17234262125902994,0.0,1.0,-0.8617131062951495,0.9814241486068112,0.6,-0.6789215686274509,,0.6,,,,,,,,,United States of America
United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,United States Virgin Islands
Uruguay,1.0,0.23333333333333334,0.4666666666666667,0.16666666666666666,0.0,,-0.03333333333333333,0.8166666666666667,,0.21428571428571427,,,,,,,0.23333333333333334,-0.39285714285714285,0.8833333333333333,0.0,Uruguay
Uzbekistan,1.0,,0.2,0.44545454545454544,0.23539595453459983,,-0.7727272727272727,0.09090909090909091,,-0.24545454545454545,,,,,,,0.2545454545454545,,0.1181818181818182,0.0,Uzbekistan
Vanuatu,,,,,,,,,,,,,,,,,,,,,Vanuatu
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of)
Viet Nam,,,,,,,,,,,,,,,,,,,,,Viet Nam
Yemen,,,,,,,,,,,,,,,,,,,,,Yemen
Zambia,,,,,,,,,,,,,,,,,,,,,Zambia
Zimbabwe,,,,,,,,,,,,,,,,,,,,,Zimbabwe
