country,co2_emissions,air_pollution,mortality,gdp,growth,fdi,revenue_proportion
Afghanistan,1237247.0,100.0,0.353,7228792320.0,-0.0440611,0.68,0.1209551
Albania,3748272.0,100.0,0.114,6857137152.0,-0.032064,133.05633,0.2362737999999999
Algeria,87853350.0,100.0,0.139,105045819392.0,-0.0663060999999999,-584.5392,0.3544706999999999
American Samoa,0.0,100.0,,615461056.0,,,
Andorra,448884.0,16.598979949951172,,2532836608.0,-0.1209286,,
Angola,8988970.0,100.0,0.222,47607984128.0,-0.0707985,-7397.29541,0.1572077
Anguilla,95264.0,,,,-0.3049832,11.40072,0.1911238
Antigua and Barbuda,329760.0,100.0,0.174,1031233664.0,-0.2084924,46.06148,0.1802614
Argentina,124392350.0,93.85282135009766,0.157,336999448576.0,-0.1185478,1652.011,0.166827
Armenia,3076793.0,100.0,0.1989999999999999,4912347648.0,-0.1356957,69.869,0.1797534999999999
Aruba,778954.0,,,2628802048.0,-0.226493,-469.73759,
Australia,361540800.0,24.89358329772949,0.086,926117003264.0,-0.0149174,-28294.65356,0.3058292
Austria,62037450.0,85.01593780517578,0.104,320340361216.0,-0.0726571,-8508.30643,0.4778631
Azerbaijan,29640750.0,100.0,0.272,14334201856.0,-0.0517315,-4748.88,0.3438102
Bahamas,1853984.0,100.0,0.1939999999999999,10700067840.0,-0.1533225,353.707,0.0999445
Bahrain,15868013.0,100.0,0.161,16362889216.0,-0.0875317,64.89362,0.1565778
Bangladesh,31981244.0,100.0,0.186,91063222272.0,0.0253230999999999,335.47,0.0898996
Barbados,1021585.94,100.0,0.156,3906818560.0,-0.1770036,91.50491,0.2473153
Belarus,53844144.0,99.9313507080078,0.238,28729692160.0,-0.039079,95.8,0.2575137
Belgium,90368010.0,91.78911590576172,0.106,376043536384.0,-0.0606906,-13857.25272,0.4813738
Belize,392048.0,100.0,0.1639999999999999,1159940608.0,-0.1827142,-10.925,0.2222881
Benin,2110055.0,100.0,0.226,6855207936.0,-0.0124591,13.50812,0.1579193
Bermuda,366400.0,100.0,,6416620032.0,-0.048065,-288.10927,
Bhutan,290832.0,100.0,0.185,787820736.0,-0.0191162,-33.91512,0.2624778
Bolivia,,,0.179,,-0.1007853,-238.62,0.2730964
Bosnia and Herz.,13566311.0,99.95523834228516,0.187,11490710528.0,-0.0372995,118.86707,0.2284454
Botswana,3825216.0,100.0,0.27,7984444416.0,-0.0977034,30.68192,0.2859377999999999
Brazil,344645000.0,67.95256042480469,0.155,1239639261184.0,-0.0474056,10143.525,0.3848195
British Virgin Islands,135568.0,,,,-0.1475329,-7142.639,
Brunei,,,0.185,,-0.0378028,-149.64129,
Bulgaria,36967110.0,99.89349365234376,0.242,33387216896.0,-0.0367614999999999,461.57503,0.3211479
Burkina Faso,1001313.0,100.0,0.239,5682675712.0,-0.0081766,2.57269,0.1386279
Burundi,153888.0,100.0,0.25,2059104128.0,-0.0413218,-0.00229,0.2517389
Cabo Verde,,,0.148,,-0.15711,12.41325,0.2696985
Cambodia,2205728.0,100.0,0.225,6816709120.0,-0.0448754,83.981,0.113856
Cameroon,3325343.0,100.0,0.239,18712860672.0,-0.0402447,-24.19802,0.153183
Canada,534863840.0,0.0,0.096,1098098081792.0,-0.0614362,-445.03543,0.3832598
Cayman Islands,,,,4300110848.0,-0.0969316,2133.108,
Central African Rep.,117248.0,100.0,0.36,1624016512.0,-0.3655682999999999,1.85279,0.0920758
Chad,509296.0,100.0,0.2269999999999999,3795433984.0,-0.0929692999999999,-675.54592,0.1967978
Chile,54470908.0,97.59442138671876,0.1,141931560960.0,-0.065807,2550.0,0.2057385
China,4112459000.0,99.998291015625,0.159,3275118608384.0,0.0195362,46877.59,0.0912595
"China, Hong Kong Special Administrative Region",,,,,-0.069035,3662.17374,0.1468636
"China, Macao Special Administrative Region",,,,,-0.569064,160.00498,0.2008672
Colombia,54569256.0,92.10462951660156,0.0969999999999999,163643113472.0,-0.0784222,1720.493,0.1414457999999999
Comoros,106256.0,100.0,0.206,675660160.0,-0.1808275,0.43042,
Congo,490976.0,100.0,0.226,6998248960.0,-0.1244241,-282.83519,
Cook Islands,29312.0,,,,-0.2543556,0.0,
Costa Rica,6245400.0,99.68879699707033,0.095,32563085312.0,-0.0541241,608.64849,0.2311201
Croatia,16870528.0,99.77960205078124,0.161,42858450944.0,-0.0753931,83.96649,0.4148832
Cuba,19732182.0,100.0,0.166,47810437120.0,-0.1089435,,
Curaçao,,,,,-0.1877064,-15.01993,
Cyprus,6583978.0,100.0,0.0819999999999999,16749064192.0,-0.0633494,-1735.26712,0.3289524
Czechia,91853880.0,99.67485809326172,0.143,132150173696.0,-0.059675,465.10493,0.3777535
Côte d'Ivoire,,,0.217,,-0.0382767,165.39057,0.0914064
Dem. Rep. Congo,,,0.24,,-0.0141205,102.2219,0.0952258999999999
Denmark,28282028.0,56.91445541381836,0.108,266333601792.0,-0.0539968999999999,-10715.96679,0.5130876
Djibouti,363307.0,100.0,0.22,2107763456.0,-0.0031525,3.39296,
Dominica,102592.0,100.0,,415957184.0,-0.162647,-37.17815,0.2299842
Dominican Rep.,17333192.0,99.91344451904295,0.153,37664878592.0,-0.076571,613.0,0.1339791
Ecuador,24753206.0,98.31562042236328,0.11,57797373952.0,-0.0915869,165.857,0.1966858999999999
Egypt,125782376.0,100.0,0.28,190482055168.0,-0.0036384,-483.0,0.2083149
El Salvador,5969700.0,100.0,0.104,18056613888.0,-0.0840569999999999,-230.3,0.1812306
Eq. Guinea,4637976.0,100.0,0.221,5269712384.0,-0.1298171,-793.87233,0.1495399
Eritrea,409357.0,100.0,0.268,1952838016.0,-0.2136625,1.43155,
Estonia,9343010.0,0.0,0.149,15748271104.0,-0.1437744,35.51426,0.3438691
Eswatini,769440.0,100.0,0.352,2621187840.0,-0.0656152,-63.88843,0.1714685
Ethiopia,4431687.0,100.0,0.171,18665392128.0,-0.0491103,108.538,0.0893175
Fiji,736464.0,82.80318450927734,0.377,3506127872.0,-0.1633491,30.45407,0.2220952
Finland,37595930.0,0.0,0.096,204650758144.0,-0.08467,-2171.24562,0.5025113999999999
France,280031520.0,78.21356201171875,0.106,2110796070912.0,-0.0807971,-2573.57968,0.4861952
French Polynesia,685168.0,,,,-0.0813308,6.42002,
Gabon,4089598.2,100.0,0.213,9871618048.0,-0.0637681,-220.87367,0.1678202
Gambia,296784.0,100.0,0.211,982902208.0,-0.10862,-27.7,0.1848882
Georgia,3351955.0,100.0,0.249,7060417536.0,-0.0598094,109.83984,0.1527618
Germany,639381060.0,89.1546630859375,0.121,2857305374720.0,-0.0550057,-10192.1787,0.4302468
Ghana,6802875.0,100.0,0.225,21803630592.0,-0.0170251,58.9,0.0917545
Greece,55610276.0,100.0,0.125,185374539776.0,-0.0966345,39.55579,0.3866885
Greenland,500478.03,80.0160140991211,,1781816576.0,-0.0252251,,
Grenada,205184.0,100.0,0.221,727106304.0,-0.1415427,31.48986,0.2059211
Guadeloupe,2291068.0,,,,,0.0,
Guatemala,10447951.0,100.0,0.16,39352700928.0,-0.0335583,205.3,0.1095796
Guinea,1623152.0,100.0,0.2339999999999999,5642956800.0,-0.0336203,-131.9,
Guinea-Bissau,153888.0,100.0,0.249,701937536.0,-0.042843,0.39561,0.1602487
Guyana,1509568.0,99.98817443847656,0.292,2943171072.0,0.0015578,26.1,
Haiti,1651995.0,100.0,0.313,11216462848.0,-0.0526788,4.94,
Honduras,5945282.0,99.9820785522461,0.1689999999999999,12458060800.0,-0.1042147,275.16784,0.1904894
Hungary,43611550.0,100.0,0.221,99849240576.0,-0.0629135,-14537.42524,0.4122549
Iceland,2968443.0,10.285215377807615,0.087,12404737024.0,-0.0918472,-427.24392,0.398637
India,1022175200.0,100.0,0.2189999999999999,871072923648.0,-0.0816491,4321.07644,0.1127234
Indonesia,310818300.0,94.21097564697266,0.248,427825594368.0,-0.0310714,-2977.39,0.1279728
Iran,,,0.148,,-0.0803631,408.11876,0.2834521
Iraq,61169412.0,100.0,0.235,60308504576.0,-0.3496024,-10176.4,0.262802
Ireland,35153204.0,0.273735761642456,0.0969999999999999,176618373120.0,-0.0676225,-31689.3001,0.2242498
Isle of Man,0.0,,,3919238912.0,,,
Israel,54528532.0,100.0,0.088,180626128896.0,-0.0369249,1582.835,0.3452687
Italy,302278600.0,94.5484848022461,0.09,1745433788416.0,-0.0880568,-10835.31695,0.4253555999999999
Jamaica,6943511.0,100.0,0.141,13285233664.0,-0.1059087,218.2,0.2490001
Japan,1042224000.0,75.412109375,0.083,4003828072448.0,-0.0570537,-6505.84356,0.2854476
Jordan,16420437.0,100.0,0.149,20466173952.0,-0.0297847999999999,238.22285,0.2454121
Kazakhstan,159971300.0,87.15238189697266,0.2239999999999999,82474672128.0,-0.0036786,1971.218,0.1722447
Kenya,6587069.0,100.0,0.21,38223396864.0,-0.025032,5.30262,0.1599491
Kiribati,43968.0,100.0,0.508,134049976.0,-0.0430636,-6.602,0.6379025
Kosovo,0.0,,,4580631040.0,-0.0496258999999999,,0.2422652
Kuwait,57981036.0,100.0,0.114,63235641344.0,-0.1251231,-111.51616,0.3862117
Kyrgyzstan,4920849.0,97.40665435791016,0.203,3705313792.0,-0.1013411999999999,-107.0,0.1676969
Laos,,,0.268,,-0.0250519,4.5,0.0
Latvia,6994113.0,89.01404571533203,0.216,18133200896.0,-0.1318981,-22.22707,0.3188634
Lebanon,13746087.0,100.0,0.1989999999999999,27768178688.0,-0.2466741,1335.964,0.1450018
Lesotho,1905280.0,100.0,0.365,1516134912.0,-0.0725475,9.5,0.2855599
Liberia,432027.0,100.0,0.178,1648882944.0,-0.3133319,2.8,0.1129162
Libya,43458376.0,100.0,0.178,20849674240.0,-0.6026879,-133.0,
Liechtenstein,141996.0,,,6268391424.0,-0.1114986,,
Lithuania,12692601.0,95.99986267089844,0.193,25562689536.0,-0.1361252,-448.09771,0.3194509
Luxembourg,8096513.0,68.73272705078125,0.0969999999999999,42953080832.0,-0.0540636,-29679.42581,0.415186
Madagascar,1232145.0,100.0,0.26,7137571328.0,-0.1527774,61.10993,0.0791793
Malawi,846135.0,100.0,0.226,3171321600.0,-0.017401,13.26209,0.1217722
Malaysia,135118200.0,90.41989135742188,0.177,157073358848.0,-0.0680187,553.94737,0.1588838
Maldives,505631.97,0.0,0.1159999999999999,2009878528.0,-0.3467983,20.4982,0.1905717999999999
Mali,1209120.0,100.0,0.223,7444077568.0,-0.0908427,72.7945,0.1386584
Malta,1356353.0,100.0,0.105,6796618752.0,-0.0853501999999999,-418.67691,0.3561295
Marshall Islands,106256.0,100.0,,164272496.0,-0.0648903,-9.357,0.6196022
Martinique,2040566.0,,,,,0.0,
Mauritania,1249424.0,100.0,0.159,3429074688.0,-0.0474307,-3.07204,
Mauritius,2883568.0,100.0,0.2319999999999999,6897618944.0,-0.1503522,-25.64428,0.1104684
Mayotte,187088.0,,,,,0.0,
Mexico,391706200.0,99.6561279296875,0.156,872545517568.0,-0.0927423,17853.569,0.2081595
Micronesia (Federated States of),,,0.446,,-0.0497102,0.0,0.2349622
Moldova,,,0.241,,-0.0675457,73.75,0.2857571
Monaco,,,,4037555968.0,-0.1274922,,
Mongolia,7930966.0,96.83174896240234,0.35,4115965440.0,-0.0686954,-4156.405,0.2522184
Montenegro,1681776.0,100.0,0.223,2760748800.0,-0.1521537,49.43149,0.3608631
Montserrat,18770.0,,,,-0.0535566,0.52852,0.6516887
Morocco,36570124.0,100.0,0.241,56805416960.0,-0.0615068,480.69071,0.2575621999999999
Mozambique,1537057.0,100.0,0.294,6393034240.0,-0.0404438,107.85332,0.2360197
Myanmar,9285877.0,100.0,0.249,18193096704.0,-0.1848736,2.194,0.0499972999999999
Namibia,1788032.0,100.0,0.226,5945752576.0,-0.0966297999999999,-178.92567,0.2611019
Nauru,40304.0,,,27813106.0,-0.1959533,,0.9462735
Nepal,2456469.0,100.0,0.184,14125274112.0,-0.03863,-6.64798,0.1046042
Netherlands,137849520.0,99.59579467773438,0.103,660722548736.0,-0.0401053,-7184.47245,0.4057213999999999
New Caledonia,2392238.0,,,8738202624.0,-0.0216337,-6.73874,
New Zealand,33789824.0,0.0,0.103,128992460800.0,-0.0271514,-2788.45595,0.3380440999999999
Nicaragua,3989804.0,99.90269470214844,0.15,7598651904.0,-0.0485158,150.2,0.1354773
Niger,687524.0,100.0,0.21,5089376256.0,-0.0541773,2.40463,0.1817556
Nigeria,74885064.0,100.0,0.1689999999999999,216710234112.0,-0.0426012,775.2474,0.0497692
Niue,3664.0,,,,,,
North Korea,,,0.2319999999999999,,-0.0494955,-235.79093,
North Macedonia,6649502.0,100.0,0.2269999999999999,6545529344.0,-0.0452814,0.0,
Norway,40918550.0,2.0246567726135254,0.087,313615417344.0,-0.0286368,-5849.00026,0.5415641
Oman,25234870.0,100.0,0.215,47045439488.0,-0.0534011999999999,-2171.6515,0.33287
Pakistan,112903880.0,100.0,0.294,155499364352.0,-0.0144365,383.0,0.1232545999999999
Palau,197856.0,,,233625104.0,-0.1014584,-2.34294,0.4975823
Palestine,,,,,-0.1430803,9.44,
Panama,5710970.0,71.63674926757812,0.107,21670400000.0,-0.1924865,98.6,0.1324165
Papua New Guinea,3484464.0,99.9951629638672,0.35,10985627648.0,-0.0574023,-900.65558,0.1483136
Paraguay,3779891.0,98.9351806640625,0.16,20605634560.0,-0.0222008,5.9,0.1227552
Peru,26210112.0,99.96292877197266,0.0969999999999999,92746964992.0,-0.1239218,1144.26,0.182452
Philippines,66523620.0,96.37065887451172,0.243,152618811392.0,-0.1078151,195.0,0.1285138
Poland,303523070.0,99.96609497070312,0.17,290804629504.0,-0.0243467,2734.02054,0.3776164
Portugal,40797216.0,14.718472480773926,0.11,194344157184.0,-0.0817777,1611.42082,0.3941355
Puerto Rico,0.0,3.669724702835083,,92660080640.0,-0.0171391,,
Qatar,40702616.0,100.0,0.107,37517987840.0,-0.0642976,-2812.63736,0.3355373
Romania,74138010.0,97.90706634521484,0.21,113536679936.0,-0.0464059,1140.6522,0.3023381
Russia,,,0.242,,-0.0787115,2808.331,0.3581223
Rwanda,509103.0,100.0,0.2019999999999999,3360489984.0,-0.0578401,1.5,0.2211935
S. Sudan,674322.0,100.0,0.162,11500530688.0,-0.5269073,-793.0,
Saint Helena,10992.0,,,,,-0.65,
Saint Kitts and Nevis,197856.0,,,683680192.0,-0.1137424,50.92741,0.2298514
Saint Lucia,359072.0,100.0,0.17,1417924992.0,-0.2073666,30.64074,0.2066166
Saint Vincent and the Grenadines,186864.0,100.0,0.195,582623488.0,-0.0331739,21.04037,0.2351417
Samoa,157552.0,100.0,0.312,636151232.0,-0.0977900999999999,-2.15161,0.2451908
San Marino,,,,1387597952.0,-0.1386598,,0.3457414
Sao Tome and Principe,58624.0,100.0,0.21,160265264.0,-0.0034342,3.0,0.2391381
Saudi Arabia,325697920.0,100.0,0.209,350950260736.0,-0.0560869,453.0,0.2147809
Senegal,4422390.0,100.0,0.195,10908465152.0,-0.0186707,31.94237,0.1717568
Serbia,30868986.0,100.0,0.22,27289407488.0,-0.0234093,177.44092,0.3771416
Seychelles,340752.0,100.0,0.209,803190016.0,-0.1132254999999999,37.44667,0.3142387
Sierra Leone,425024.0,100.0,0.2339999999999999,2187725568.0,-0.2220657,8.61505,0.1204500999999999
Singapore,29909494.0,100.0,0.095,144417947648.0,-0.0613499,5338.35216,0.1677906
Sint Maarten (Dutch part),479525.0,,,1108000768.0,-0.2486501,-196.6257,
Slovakia,31094728.0,100.0,0.155,51838074880.0,-0.0548672999999999,-604.24777,0.343303
Slovenia,12549330.0,99.47412872314452,0.114,34509225984.0,-0.080372,-475.83431,0.4336077
Solomon Is.,245488.0,99.91756439208984,0.35,715870528.0,-0.0669623,-9.3133,0.3326247999999999
Somalia,578264.0,100.0,0.304,4316495360.0,-0.0428619,-4.79,0.0748173
South Africa,356304770.0,100.0,0.241,236102582272.0,-0.0815931999999999,311.45011,0.2764913
South Korea,,,0.073,,-0.0093688,4104.1,0.1929132999999999
Spain,213339730.0,40.72438430786133,0.096,1036884180992.0,-0.1085722,8514.72557,0.3415946
Sri Lanka,10948020.0,45.53841781616211,0.132,36968738816.0,-0.0397219,81.8878,0.091719
Sudan,7417876.0,100.0,0.228,42460971008.0,-0.0501257,574.0,0.0904695
Suriname,1537767.0,100.0,0.206,3128895232.0,-0.1666006,-247.7,0.2129732
Sweden,35848948.0,3.4750819206237797,0.084,378214023168.0,-0.051272,97.12078,0.481435
Switzerland,34240970.0,49.30013656616211,0.079,539824619520.0,-0.0323577,-79077.2787,0.3083581999999999
Syria,,,0.212,,-0.2402173,110.0,
Tajikistan,1877243.0,100.0,0.283,3278253312.0,0.0014856,9.4954,0.1731327
Tanzania,,,0.174,,0.0167195,308.2,0.1284632
Thailand,197138800.0,100.0,0.1369999999999999,243168526336.0,-0.0632185,1370.363,0.1759509
Timor-Leste,,,0.186,,-0.0887266999999999,-6099.73452,0.5718225
Togo,1322471.0,100.0,0.239,2605829632.0,-0.0711050999999999,-183.38758,0.1358860999999999
Tonga,102592.0,99.8064193725586,0.248,388787744.0,-0.0566408,4.69208,0.3107835
Trinidad and Tobago,28591178.0,100.0,0.171,15130677248.0,-0.0767311,-1904.348,0.2526904
Tunisia,20558744.0,100.0,0.157,29418412032.0,-0.095585,486.54698,0.2631989
Turkey,,,0.156,,-0.0602791,1082.0,0.2382366
Turkmenistan,27824656.0,100.0,0.2769999999999999,10810630144.0,-0.0913669999999999,170.0,
Turks and Caicos Islands,150224.0,,,770245952.0,-0.2777759,-69.888,
Tuvalu,7328.0,,,27215792.0,-0.0537428,-0.119,
Uganda,1446221.0,100.0,0.212,13976828928.0,-0.0403089,151.496,0.0954364
Ukraine,201857710.0,100.0,0.255,80039133184.0,-0.1478983999999999,-458.47516,0.3702509
United Arab Emirates,83698216.0,100.0,0.185,197646548992.0,-0.1515126,95.3,0.2138458
United Kingdom,,,0.103,,-0.1016718,16590.14616,0.3421255
United States Virgin Islands,0.0,40.0,,3663000064.0,,,
United States of America,,,0.136,,-0.0397008,53146.0,0.2822183
Uruguay,4526888.0,22.385744094848636,0.165,29698869248.0,-0.0774772,-1825.32741,0.2280543
Uzbekistan,103695920.0,100.0,0.253,34085756928.0,0.0016727,65.3,0.2329295
Vanuatu,47632.0,100.0,0.397,480488928.0,-0.1138161999999999,1.0683,0.225939
Venezuela,,,0.148,,-0.298033,-1028.0,
Vietnam,,,0.212,,0.0197924,1300.0,0.2119849
Yemen,10474176.0,100.0,0.266,36514914304.0,-0.376848,-561.0,
Zambia,1960891.0,100.0,0.246,8869966848.0,-0.0555032,145.0,0.157352
Zimbabwe,7720094.0,100.0,0.258,10517811200.0,-0.09594,3.8,0.0977060999999999
